id,name,record_type,record_id,blob_id,created_at
596,video,Spree::Product,1189,596,2020-09-08 09:57:15.117345
597,attachment,Spree::Asset,258,597,2020-09-08 09:57:54.937069
598,attachment,Spree::Asset,259,598,2020-09-08 10:15:45.467800
600,video,Spree::Product,1216,600,2020-09-08 10:16:05.566635
602,video,Spree::Product,1204,602,2020-09-08 10:19:56.486762
603,attachment,Spree::Asset,260,603,2020-09-08 10:20:28.985212
604,attachment,Spree::Asset,261,604,2020-09-08 10:32:55.842458
605,attachment,Spree::Asset,262,605,2020-09-08 10:40:06.605821
607,video,Spree::Product,1184,607,2020-09-08 10:40:24.999802
609,video,Spree::Product,1258,609,2020-09-08 10:42:43.821089
610,attachment,Spree::Asset,263,610,2020-09-08 10:43:06.367136
613,video,Spree::Product,1217,613,2020-09-08 10:45:40.095210
615,video,Spree::Product,1211,615,2020-09-08 11:13:45.932610
619,video,Spree::Product,1193,619,2020-09-08 12:25:13.163385
621,video,Spree::Product,1188,621,2020-09-08 12:26:51.496839
622,attachment,Spree::Asset,267,622,2020-09-08 12:27:21.311879
625,video,Spree::Product,2227,625,2020-09-08 12:35:22.174751
627,video,Spree::Product,2011,627,2020-09-08 13:12:20.833691
629,attachment,Spree::Asset,270,629,2020-09-08 13:19:46.203910
631,video,Spree::Product,2012,631,2020-09-08 13:20:10.131056
633,video,Spree::Product,2020,633,2020-09-08 13:42:43.571650
637,video,Spree::Product,2014,637,2020-09-08 13:54:40.283197
639,video,Spree::Product,2023,639,2020-09-08 14:15:11.844531
641,attachment,Spree::Asset,274,641,2020-09-08 14:17:36.299186
643,video,Spree::Product,922,643,2020-09-08 14:18:19.468212
645,video,Spree::Product,2188,645,2020-09-08 14:21:45.421846
647,attachment,Spree::Asset,276,647,2020-09-09 08:06:03.345792
649,video,Spree::Product,1313,649,2020-09-09 08:07:12.581294
651,video,Spree::Product,1341,651,2020-09-09 08:07:40.884590
652,attachment,Spree::Asset,277,652,2020-09-09 08:09:19.637114
653,attachment,Spree::Asset,278,653,2020-09-09 08:10:24.349068
655,video,Spree::Product,1364,655,2020-09-09 08:10:45.358253
657,video,Spree::Product,1360,657,2020-09-09 08:13:53.015637
659,attachment,Spree::Asset,280,659,2020-09-09 08:35:19.852984
661,video,Spree::Product,1394,661,2020-09-09 08:35:44.355159
663,video,Spree::Product,1043,663,2020-09-09 08:37:51.014683
664,attachment,Spree::Asset,281,664,2020-09-09 08:40:03.890754
665,attachment,Spree::Asset,282,665,2020-09-09 09:02:43.391904
667,video,Spree::Product,874,667,2020-09-09 09:02:58.842565
669,video,Spree::Product,899,669,2020-09-09 10:04:08.167848
670,attachment,Spree::Asset,283,670,2020-09-09 10:05:40.974396
671,attachment,Spree::Asset,284,671,2020-09-09 10:06:51.883696
673,video,Spree::Product,925,673,2020-09-09 10:07:23.825321
675,video,Spree::Product,924,675,2020-09-09 10:09:07.342741
676,attachment,Spree::Asset,285,676,2020-09-09 10:09:43.364005
677,attachment,Spree::Asset,286,677,2020-09-09 12:52:54.488006
679,video,Spree::Product,1048,679,2020-09-09 12:53:11.881266
681,video,Spree::Product,1052,681,2020-09-09 12:54:18.218476
682,attachment,Spree::Asset,287,682,2020-09-09 12:56:02.942582
683,attachment,Spree::Asset,288,683,2020-09-09 12:57:48.606575
685,video,Spree::Product,1056,685,2020-09-09 12:58:11.297183
687,video,Spree::Product,1059,687,2020-09-09 13:00:01.324706
688,attachment,Spree::Asset,289,688,2020-09-09 13:00:31.733530
689,attachment,Spree::Asset,290,689,2020-09-09 13:05:14.606073
691,video,Spree::Product,2461,691,2020-09-09 13:05:53.086689
